canonical_name,level,abbreviation,hierarchy_path_abbrev,hierarchy_path
Department of Homeland Security,1,DHS,,Department of Homeland Security
Department of Defense,1,DoD,,Department of Defense
Department of Veterans Affairs,1,VA,,Department of Veterans Affairs
Department of State,1,DOS,,Department of State
National Aeronautics and Space Administration,1,NASA,,National Aeronautics and Space Administration
General Services Administration,1,GSA,,General Services Administration
Department of Health and Human Services,1,HHS,,Department of Health and Human Services
U.S. Agency for International Development,1,USAID,,U.S. Agency for International Development
Department of Agriculture,1,USDA,,Department of Agriculture
Department of Justice,1,DOJ,,Department of Justice
Department of Energy,1,DOE,,Department of Energy
Department of Transportation,1,DOT,,Department of Transportation
Department of the Treasury,1,USDT,,Department of the Treasury
Social Security Administration,1,SSA,,Social Security Administration
Small Business Administration,1,SBA,,Small Business Administration
Department of the Interior,1,DOI,,Department of the Interior
Department of Commerce,1,DOC,,Department of Commerce
Department of Housing and Urban Development,1,HUD,,Department of Housing and Urban Development
Department of Labor,1,DOL,,Department of Labor
Department of Education,1,ED,,Department of Education
Consumer Financial Protection Bureau,1,CFPB,,Consumer Financial Protection Bureau
Securities and Exchange Commission,1,SEC,,Securities and Exchange Commission
Federal Deposit Insurance Corporation,1,FDIC,,Federal Deposit Insurance Corporation
Federal Reserve Board,1,FED,,Federal Reserve Board
Pension Benefit Guaranty Corporation,1,PBGC,,Pension Benefit Guaranty Corporation
Administrative Office of the U.S. Courts,1,AOUSC,,Administrative Office of the U.S. Courts
Commodity Futures Trading Commission,1,CFTC,,Commodity Futures Trading Commission
Court Services and Offender Supervision Agency,1,CSOSA,,Court Services and Offender Supervision Agency
National Archives and Records Administration,1,NARA,,National Archives and Records Administration
Architect of the Capitol,1,AOC,,Architect of the Capitol
Office of Personnel Management,1,OPM,,Office of Personnel Management
National Credit Union Administration,1,NCUA,,National Credit Union Administration
United States Postal Service,1,USPS,,United States Postal Service
Environmental Protection Agency,1,EPA,,Environmental Protection Agency
International Development Finance Corporation,1,DFC,,International Development Finance Corporation
Peace Corps,1,PC,,Peace Corps
Library of Congress,1,LOC,,Library of Congress
Nuclear Regulatory Commission,1,NRC,,Nuclear Regulatory Commission
Millennium Challenge Corporation,1,MCC,,Millennium Challenge Corporation
United States Senate,1,,,United States Senate
Defense Nuclear Facilities Safety Board,1,DNFSB,,Defense Nuclear Facilities Safety Board
National Science Foundation,1,NSF,,National Science Foundation
Office of the Director of National Intelligence,1,DNI,,Office of the Director of National Intelligence
Executive Office of the President,1,EOP,,Executive Office of the President
International Trade Commission,1,USITC,,International Trade Commission
Federal Communications Commission,1,FCC,,Federal Communications Commission
Federal Election Commission,1,FEC,,Federal Election Commission
Railroad Retirement Board,1,RRB,,Railroad Retirement Board
Federal Housing Finance Agency,1,FHFA,,Federal Housing Finance Agency
United States Trade and Development Agency,1,USTDA,,United States Trade and Development Agency
The Institute of Museum and Library Services,1,IMLS,,The Institute of Museum and Library Services
International Boundary and Water Commission U.S.-Mexico,1,IBWC,,International Boundary and Water Commission U.S.-Mexico
National Gallery of Art,1,NGA,,National Gallery of Art
U.S. Agency for Global Media,1,USAGM,,U.S. Agency for Global Media
Federal Trade Commission,1,FTC,,Federal Trade Commission
Indian Law and Order Commission,1,ILOC,,Indian Law and Order Commission
Export Import Bank of the US,1,EXIM,,Export Import Bank of the US
Capitol Police,1,USCP,,Capitol Police
Government Publishing Office,1,GPO,,Government Publishing Office
Consumer Product Safety Commission,1,CPSC,,Consumer Product Safety Commission
AmeriCorps,1,CNCS,,AmeriCorps
Congressional Budget Office,1,CBO,,Congressional Budget Office
Equal Employment Opportunity Commission,1,EEOC,,Equal Employment Opportunity Commission
Advisory Council on Historic Preservation,1,ACHP,,Advisory Council on Historic Preservation
United States Holocaust Memorial Museum,1,USHMM,,United States Holocaust Memorial Museum
AbilityOne,1,,,AbilityOne
DFAS Indianapolis,3,,DoD>DFAS,Department of Defense>Defense Finance and Accounting Service>DFAS Indianapolis
Institute of American Indian Arts,1,IAIA,,Institute of American Indian Arts
National Council on Disability,1,NCD,,National Council on Disability
U.S. Office of Special Counsel,1,OSC,,U.S. Office of Special Counsel
Supreme Court of the United States,1,SCOTUS,,Supreme Court of the United States
Advisory Commission on Intergovernmental Relations,1,ACIR,,Advisory Commission on Intergovernmental Relations
Administrative Conference of the United States,1,ACUS,,Administrative Conference of the United States
Surface Transportation Board,1,STB,,Surface Transportation Board
DFAS Cleveland,3,,DoD>DFAS,Department of Defense>Defense Finance and Accounting Service>DFAS Cleveland
Government Accountability Office,1,GAO,,Government Accountability Office
Smithsonian Institution,1,SI,,Smithsonian Institution
SSA Office of the Inspector General,2,OIG,SSA,Social Security Administration>SSA Office of the Inspector General
American Battle Monuments Commission,1,ABMC,,American Battle Monuments Commission
Architectural and Transportation Barriers Compliance Board,1,,,Architectural and Transportation Barriers Compliance Board
National Commission on Libraries and Information Science,1,,,National Commission on Libraries and Information Science
Commission on Agricultural Workers,1,,,Commission on Agricultural Workers
U.S. Court of Federal Claims,1,,,U.S. Court of Federal Claims
United States Tax Court,1,,,United States Tax Court
U.S. Court of Appeals Judicial Circuits (Except Federal Circuit),1,,,U.S. Court of Appeals Judicial Circuits (Except Federal Circuit)
National Capital Planning Commission,1,NCPC,,National Capital Planning Commission
Merit Systems Protection Board,1,MSPB,,Merit Systems Protection Board
National Labor Relations Board,1,NLRB,,National Labor Relations Board
Japan-U.S. Friendship Commission,1,,,Japan-U.S. Friendship Commission
National Mediation Board,1,NMB,,National Mediation Board
Federal Public Defenders,1,,,Federal Public Defenders
Chemical Safety and Hazard Investigation Board,1,CSB,,Chemical Safety and Hazard Investigation Board
DFAS Columbus,3,,DoD>DFAS,Department of Defense>Defense Finance and Accounting Service>DFAS Columbus
Armed Forces Retirement Home,1,AFRH,,Armed Forces Retirement Home
Northern Border Regional Commission,1,NBRC,,Northern Border Regional Commission
United States Institute of Peace,1,USIP,,United States Institute of Peace
Legal Services Corporation,1,LSC,,Legal Services Corporation
Recovery Accountability and Transparency Board,1,,,Recovery Accountability and Transparency Board
U.S. Office of Government Ethics,1,OGE,,U.S. Office of Government Ethics
Overseas Private Investment Corporation,1,OPIC,,Overseas Private Investment Corporation
The Legislative Branch,1,,,The Legislative Branch
The Council of the Inspectors General on Integrity and Efficiency,1,CIGIE,,The Council of the Inspectors General on Integrity and Efficiency
Federal Labor Relations Authority,1,FLRA,,Federal Labor Relations Authority
Federal Retirement Thrift Investment Board,1,FRTIB,,Federal Retirement Thrift Investment Board
U.S. Election Assistance Commission,1,EAC,,U.S. Election Assistance Commission
Vietnam Education Foundation,1,VEF,,Vietnam Education Foundation
DFAS Rome,3,,DoD>DFAS,Department of Defense>Defense Finance and Accounting Service>DFAS Rome
Federal Mine Safety and Health Review Commission,1,FMSHRC,,Federal Mine Safety and Health Review Commission
Federal Mediation and Conciliation Service,1,FMCS,,Federal Mediation and Conciliation Service
Court of International Trade,1,,,Court of International Trade
Medicare Payment Advisory Commission,1,,,Medicare Payment Advisory Commission
The Judicial Branch,1,,,The Judicial Branch
Marine Mammal Commission,1,,,Marine Mammal Commission
Missoula Technology and Development Center,4,MTDC,USDA>USFS>*,Department of Agriculture>Forest Service>National Technology and Development Program>Missoula Technology and Development Center
Geospatial Service and Technology Center,4,GTAC,USDA>USFS>*,Department of Agriculture>Forest Service>National Technology and Development Program>Geospatial Service and Technology Center
Commission on Civil Rights,1,USCCR,,Commission on Civil Rights
Denali Commission,1,,,Denali Commission
National Endowment for the Humanities,1,NEH,,National Endowment for the Humanities
Delta Regional Authority,1,,,Delta Regional Authority
National Endowment for the Arts,1,NEA,,National Endowment for the Arts
San Dimas Technology and Development Center,4,SDTDC,USDA>USFS>*,Department of Agriculture>Forest Service>National Technology and Development Program>San Dimas Technology and Development Center
Bureau for Humanitarian Assistance,2,BHA,USAID,U.S. Agency for International Development>Bureau for Humanitarian Assistance
Office of Transition Initiatives,2,OTI,USAID,U.S. Agency for International Development>Office of Transition Initiatives
Dwight D. Eisenhower Memorial Commission,1,,,Dwight D. Eisenhower Memorial Commission
Pretrial Services Agency,1,PSA,,Pretrial Services Agency
Federal Housing Finance Board,1,,,Federal Housing Finance Board
Farm Credit Administration,1,FCA,,Farm Credit Administration
John F. Kennedy Center for the Performing Arts,1,JFK,,John F. Kennedy Center for the Performing Arts
